;userid;traid;rating_count
0;user_000001;00237585-8e04-4cd5-a785-f2185492ab0b;2
1;user_000001;0024d72c-136f-49f2-9078-ce4b39b94d3f;4
2;user_000001;0025055f-39c3-43e2-b874-3bf42bbc9212;2
3;user_000001;002e254d-4624-49f4-b78a-b40711b9e4f3;3
4;user_000001;00b07689-ec4c-4773-94ce-06f3d198431e;4
5;user_000001;00b811a4-762b-492e-b5ef-9a673a55da57;5
6;user_000001;00d3fbc3-4a18-42fe-a14c-6101eee7b88c;2
7;user_000001;00de4a37-1faf-49bb-a470-b8f1030e60ec;1
8;user_000001;00e2a7aa-6028-49fa-8b5d-31afe96245cc;7
9;user_000001;00f7868e-6380-4a08-8133-1b4687453699;1
10;user_000001;010fd1c1-2aed-4173-a01e-6e8a80840305;2
11;user_000001;012152d1-b1f9-4140-8e0a-edeca155de0e;2
12;user_000001;0134f2f9-4447-4d79-b0f5-6f83543cd338;2
13;user_000001;017d1e06-cd2e-425d-8a7d-a32726fa864b;1
14;user_000001;0192cbdc-b49c-4366-8cb6-8bd26b4acda9;4
15;user_000001;0198d56b-a92f-4596-a206-9e136f56e39f;21
16;user_000001;019cc5d9-1aaf-4687-b0af-6bc83bbccf0b;16
17;user_000001;01aba331-010c-4d77-9fed-a0e784e89530;1
18;user_000001;01c09783-c3bf-4e56-b018-ee2ffbfbb5bb;6
19;user_000001;01ca6d14-0695-41b6-912a-b0549393bd10;7
20;user_000001;01d866fc-7145-46af-ad7a-4133a477d54b;6
21;user_000001;01ee255d-5ea2-4e4c-b86d-5d82b741b212;1
22;user_000001;01f6d697-87ab-4d46-8ee4-c3d25c9caece;2
23;user_000001;01f8d080-0f63-4049-b0e5-fd1401d98c7c;3
24;user_000001;01fb5c44-c200-4ae8-a0f9-23fbc388ede2;5
25;user_000001;01fd44f9-1b13-4cc3-bc99-de3eacb2d416;2
26;user_000001;01fe8e91-f836-48e7-bb9d-bde3ef08aaee;1
27;user_000001;021c13d9-5003-4769-8b23-4a6b16d34336;2
28;user_000001;02562570-a418-4158-ad54-16ac116c5795;2
29;user_000001;026a5a3b-fd75-4934-8ff7-15d7b1d6090f;2
30;user_000001;02791320-fe7c-4121-92b2-43ad178c57cb;1
31;user_000001;02c11722-81cc-4845-bd36-08268f11d9c9;5
32;user_000001;02d30185-9d38-4f1c-9dac-63aa14f8cc69;1
33;user_000001;02f5ec41-bd4a-4087-b58e-7efa72f2c769;7
34;user_000001;02fd11c5-7671-4182-9b63-93d05a68a7f4;1
35;user_000001;0302bf37-d7b4-49d1-818f-7ef3159c62f2;4
36;user_000001;03156214-005e-456f-a5e3-0df32024fdad;16
37;user_000001;0393be14-3d61-4a56-b3fc-6453b22ec058;4
38;user_000001;03c8da22-3f80-47e4-b033-4bf35a873a51;3
39;user_000001;03dbdde4-df44-4ae3-99f5-692e008b7367;3
40;user_000001;03eeeec3-0d75-40a6-b9bb-fd7e05824545;2
41;user_000001;04049f3b-2fda-460f-a3ea-05f0418792c1;13
42;user_000001;044362b5-a88b-4b74-b24a-792bcada2a82;8
43;user_000001;04bd53b8-e76f-4d41-8bfc-e1c26eddac6c;4
44;user_000001;04be389b-e44f-46c3-9ff3-2a0f0c3beda7;12
45;user_000001;04e8b6d4-91c9-497d-b83e-d619df0085fd;3
46;user_000001;051285ba-538a-4eee-ad71-7447774776a4;4
47;user_000001;05182b53-d942-4e39-9d87-3e62658898ff;14
48;user_000001;053c61d3-c916-4e3f-b937-1b91442d2575;1
49;user_000001;0571ec2f-a08b-4306-8f7b-5664374a6c93;1
50;user_000001;05a02954-ce31-4b8b-89a9-8e205417e32f;4
51;user_000001;05ef9a7c-edab-4937-9c46-6bf572017d14;17
52;user_000001;05fe9f7c-40a1-4f60-8e8e-dca0c00ebc26;11
53;user_000001;060d955f-da45-4def-9e7f-340365f847c4;3
54;user_000001;065acbc5-eb52-4483-9df9-4f29dc420ae4;5
55;user_000001;0661d616-02f2-4964-8de7-2718702f9c1a;7
56;user_000001;06864097-cdce-4ba0-8c76-dadf1269942e;3
57;user_000001;06a4a6f0-685c-4a3e-8554-2cc6494bd81e;7
58;user_000001;06ca9231-8575-4a5c-acc0-e2101897f9bc;2
59;user_000001;06d0020b-437a-43d8-8d26-53315449bfd7;1
60;user_000001;06d444ce-9a74-4eea-960c-02a66f5b6130;8
61;user_000001;0701e962-af10-43b0-876a-34baee0b74c1;1
62;user_000001;070afc30-709d-4ecd-b2f8-475bf8c76eec;1
63;user_000001;07288df2-c3c0-4c0b-b893-f8c6d42d4c5b;5
64;user_000001;07687d0c-f595-4c66-a7a9-76756e682bc2;1
65;user_000001;076f1f0f-5108-46cb-a874-015e114da752;1
66;user_000001;0784bd58-3f4d-4bef-8bf3-c36772830bfb;2
67;user_000001;078a9221-2200-4ba1-84a6-1f992fec4c81;1
