traid;var;count;mean
1c0377bb-c00b-4bbe-b4b2-615f13324adc;4.0;4;2.0
9f17eb0c-9b6a-471b-af27-649270b576de;3.6666666666666665;4;2.5
e8d49121-d263-48a7-a0bc-e629f7c54aa7;5.333333333333334;3;2.3333333333333335
c7492f6e-adf3-4ff5-85dc-33d527dc81d8;21.333333333333336;3;3.6666666666666665
cc7e77ef-fd6e-462c-98b7-957a156cc146;2.3333333333333335;3;2.6666666666666665
8d8363b5-b5ef-4435-9a40-ee0b5415d914;8.333333333333334;3;5.666666666666667
0e6871fc-d16f-4cc8-86fc-c8d368f906d4;439.0;3;19.0
0b778271-1901-472c-95fa-8996535e4c8f;6.333333333333334;3;3.6666666666666665
30098f22-ab0a-4b1f-8ea8-55e7f50233f2;12.0;3;3.0
ad922fb0-f2ac-4d47-803f-a61cfa69117e;13.0;3;4.0
2c4b66d2-499d-4591-9708-46de67a6129f;1.0;3;3.0
95a65991-79d6-41d1-811e-46937efb453b;3.0;3;2.0
60bd9d53-01ff-4562-8058-eb44b3940317;44.33333333333333;3;5.333333333333333
4cc4b1fc-ea44-4046-940a-da4f56425d63;7.0;3;3.0
31c89fdc-afdb-4d84-bc61-2dbabf0b4f23;27.0;3;4.0
8ff37d19-ce4b-4552-9215-1063c3d83a3a;3.0;3;2.0
31e5ce2d-bc19-4e2c-a0c5-d56b9895a265;30.333333333333336;3;4.666666666666667
df8c41f0-1c02-4060-81ca-035ef3085663;3.0;3;3.0
db4c9220-df76-4b42-b6f5-8bf52cc80f77;102.33333333333334;3;9.333333333333334
e3232b14-4e68-446e-954e-42cdd2d81b0e;6.333333333333333;3;3.6666666666666665
fc5f3234-18b3-4218-bc73-aad533dfaeb3;10.333333333333334;3;3.3333333333333335
f2854a2e-4290-47d9-87c9-2b3eef8773bf;1.3333333333333333;3;2.3333333333333335
63592039-568d-4441-abb8-4dfdebfc05ad;44.333333333333336;3;5.333333333333333
938ecadc-f343-4c06-a754-c9f262be1088;3.0;3;2.0
f4fb4539-90b5-401e-8520-1a0dd4e41a32;1.0;3;2.0
c835a61b-dcdb-41be-82d8-e52b4a1c8d0b;273.0;3;12.0
f4e4743c-332f-4f16-a267-b16f571396ec;1.3333333333333333;3;2.6666666666666665
ba0e5662-5802-4726-b467-972adc887de2;12.333333333333334;3;4.333333333333333
0cb8b935-99a6-4aa3-a3a7-d568caec2117;12.0;3;3.0
8ebb47f5-d7d5-4c72-ba7d-cd09eb10ef94;5.333333333333334;3;3.3333333333333335
62e043a2-9e4e-410b-ae90-13ae9530b17e;2.333333333333333;3;2.6666666666666665
4d7b8fcb-fafc-4416-9170-752f12e10a2e;33.33333333333333;3;4.333333333333333
3bd362c5-3b6d-4202-9897-2d38b3b4da8c;3.0;3;2.0
b58d53b4-7dd9-44b1-aacb-67f6a8361253;4.333333333333333;3;3.6666666666666665
86cc4d92-96cd-4aae-aec8-a7e6b130a233;36.333333333333336;3;6.666666666666667
b10175e6-a3d7-4102-b97b-7f1b88c94cd3;1.3333333333333335;3;1.6666666666666667
310fa155-f188-46bb-b39a-f5ab8ac048df;16.333333333333332;3;3.3333333333333335
6c077d47-09ae-4059-b025-d48f48710f92;36.0;3;7.0
7f12b334-a7f3-4169-a234-b2b3e06f489c;33.33333333333333;3;4.333333333333333
b9a66646-b13b-4741-9e1e-98fa526c41fd;3.0;3;3.0
8e9e4b7b-76e3-42f1-8ad7-d61f67d46517;22.333333333333336;3;4.666666666666667
4524d8db-3d9f-4349-aa0e-185a2a6ae502;73.0;3;9.0
ea42a36a-ced7-4326-a7d3-c91456b49d0b;129.0;3;10.0
bb867084-3236-4de9-b6f0-8f0b1591a38d;3.0;3;2.0
83cf16bc-01db-4766-9e3e-f3c796639cf2;4.333333333333333;3;3.3333333333333335
dc049adc-1365-4ee7-8c47-503fe14897a5;2.3333333333333335;3;2.6666666666666665
4c2d89ba-b7e7-4996-9e8b-89463b7c0c6b;2.3333333333333335;3;2.6666666666666665
675c42f1-4e18-475d-a4b7-604358e904af;0.3333333333333333;3;1.6666666666666667
9725a0a0-c67e-49fd-95e2-d6e13c2f40f0;2.333333333333333;3;4.333333333333333
41b40e52-43ad-49a0-b1f5-f22f999a8848;1.0;3;3.0
e234705a-d068-43d5-a122-cef8f056588e;5.333333333333334;3;2.3333333333333335
61267686-d9d4-4c68-b08a-ab356ea49cae;70.33333333333334;3;7.333333333333333
5f1477de-7c23-4218-9e21-cc50f8b9384b;10.333333333333334;3;3.3333333333333335
10d1062a-7275-458f-ad0d-906eeaa22c57;6.333333333333333;3;3.3333333333333335
3e2402a4-7803-4ea4-9683-bf1304f9dcf5;223.0;3;12.0
560062d0-e122-46be-9d89-0f3b44077fdf;40.333333333333336;3;4.666666666666667
78b3b6bb-1f11-432b-8763-b8109874b8e0;50.0;2;6.0
78b2151d-c4b9-48c0-ab98-33ef776a6a18;24.5;2;4.5
78959003-9b7d-444e-9cd5-61f5e9811fc1;0.0;2;1.0
a9f6ea4c-06a9-46a4-9a67-667617b0fe6a;288.0;2;17.0
5a77f767-dfa5-4008-a7bc-3a3b91b7b07b;50.0;2;10.0
787ed53a-da3f-4527-82e8-48eff8d8541a;18.0;2;7.0
0dfa7f10-7b71-4ec4-8855-1d62de7ebd0a;312.5;2;13.5
8f3461f5-6833-44a6-b705-1b65ef610102;4.5;2;2.5
b5534d77-ac0c-49cb-95b6-5b74bd18091a;12.5;2;4.5
e4253640-8194-402e-a001-778fd4fda89c;8.0;2;3.0
aa0e3e58-fec7-474c-91e4-f32d3d9c1d5c;112.5;2;8.5
e45b1a4d-dfa7-4e6c-8d29-ece3b5f7a90d;0.5;2;7.5
76a12737-4cc8-49b0-87eb-119c28679f28;2.0;2;2.0
3a59a4b8-528c-4a82-a45f-8217c89b3eaf;40.5;2;5.5
6a635983-cd99-4da4-9840-a7be760f45c8;8.0;2;3.0
b56fd496-a65a-4468-8e26-7e8e11a637b1;364.5;2;15.5
e41feeeb-b5e9-45c4-92c1-0b50f8a3dc49;2.0;2;3.0
1cb18dc9-6d27-4ffb-b2bd-13c58c865286;98.0;2;10.0
c8a290f9-bd93-4e38-a20d-7b2689497584;18.0;2;4.0
1001f481-e93e-4107-b640-cf289a122335;392.0;2;17.0
b5f701a7-3625-4dee-a147-6a9817e4f7b8;0.5;2;5.5
1e8857d3-55ad-417c-8370-ff3e45bd2255;480.5;2;16.5
f4eb9a29-5dda-482b-8d3e-ed1d10898d88;60.5;2;9.5
c89214cc-d970-4b8b-b174-941a2a7b189b;0.5;2;3.5
691e5a27-878d-4bc1-941a-111142c48094;2.0;2;7.0
50623cbc-4f43-4143-b3f3-e48418a327e9;0.5;2;1.5
5a05238f-0257-4758-84ef-6290ae9738d8;24.5;2;4.5
4e6b187a-b6b6-4afd-a310-07fa9fdfd807;2.0;2;2.0
e5be3063-0f68-4c28-8a4e-d19a354b0872;242.0;2;13.0
b3e6f4c5-e62f-4b55-afe2-ec583d48b8dd;4.5;2;2.5
69443781-a8e6-4ee8-8b76-baa50e5e246b;2.0;2;2.0
2d5d4428-c08a-47b3-b346-6f334b757d1a;4.5;2;2.5
1e6a7789-4fce-4798-909e-00e538026e33;144.5;2;10.5
d5b853f7-8276-4a18-aeeb-7c77ad280613;12.5;2;3.5
b5900e62-7d8a-4094-84d8-9a2f6b9250ac;4.5;2;10.5
768217d5-f223-4942-9283-8b3e67e62e94;60.5;2;10.5
