;userid;artid;rating_count
0;user_000001;00c73a38-a449-4990-86ca-5088dde1b8df;2
1;user_000001;012a77c9-c897-494f-87d0-0a730996494d;1
2;user_000001;014ba96b-b8da-49e3-8a2b-b720ae42e84c;3
3;user_000001;01ce7548-dab4-4ca6-8dfc-8e2e4b50d461;4
4;user_000001;03282c56-8a24-42f4-8bfc-96188933aefa;4
5;user_000001;0356daee-ec48-4495-bc3e-460b8a5eacad;179
6;user_000001;0391aba9-d3aa-49db-9932-fa3eccef2f99;1
7;user_000001;03b76496-6dd0-4178-a62b-b6fc4b3a4b85;2
8;user_000001;049bab99-de0b-4e06-a236-30c43fcbfe7c;1
9;user_000001;05bda946-628d-49b9-8b35-28f8d8f3111e;5
10;user_000001;05fd92f7-60d7-4fe9-95e2-7ff597e755db;6
11;user_000001;06e199c1-6f33-477b-a74d-bc8a283bd8f0;2
12;user_000001;07729ca8-b15b-44d4-881b-6a325f61665a;19
13;user_000001;078be324-de92-4c72-9371-65bdcf324154;1
14;user_000001;08379a1c-453b-460a-ab49-a213bb3b4ca6;115
15;user_000001;09a114d9-7723-4e14-b524-379697f6d2b5;73
16;user_000001;09fe4dad-247f-4978-98ca-058a6f91871b;2
17;user_000001;0a6eb633-fb2c-4683-9783-58c4e86ea740;86
18;user_000001;0a77bec1-12ef-4caa-b36a-f533001fcd29;8
19;user_000001;0ae49abe-d6af-44fa-8ab0-b9ace5690e6f;4
20;user_000001;0b285612-e40d-4f86-aa50-14cdee980e53;2
21;user_000001;0ba9663b-54a4-4202-942c-a812d253e3a0;1
22;user_000001;0bbf6285-ed14-4365-bc1b-473d596d0101;1
23;user_000001;0c118139-3407-4734-9ab3-bd963027c3d7;2
24;user_000001;0d29e49a-ddda-44cd-ae73-fce21971f5d6;2
25;user_000001;0d4bc6e5-2a3e-4fdf-8bbf-59ad0bc374d7;2
26;user_000001;0daf1c34-212a-442f-905d-c44f2adcc020;26
27;user_000001;0dde8e37-b914-43b1-a200-05a29d2424a1;3
28;user_000001;0e560b7c-694c-4391-ab78-263b0529ff10;2
29;user_000001;0f5a9adc-fcca-4d04-bf31-d7d1164133f9;162
30;user_000001;0f79a199-683c-4167-8ddd-240b1612a55c;1
31;user_000001;0fdfc9ce-4892-45d0-b7c1-80217781ecd0;1
32;user_000001;101159b3-6c44-4e24-beab-5e90bc2bfc35;35
